KODJAZ,TYPVAZ,AKRCIS1,KODCIS1,CHODNOTA1,TEXT1,AKRCIS2,KODCIS2,CHODNOTA2,TEXT2
"CS","Editaèní vazba","CISMC",44,"538361","Praha-Kolovraty","CISOB",43,"554782","Praha"
"CS","Editaèní vazba","CISMC",44,"538388","Praha-Královice","CISOB",43,"554782","Praha"
"CS","Editaèní vazba","CISMC",44,"538400","Praha-Køeslice","CISOB",43,"554782","Praha"
"CS","Editaèní vazba","CISMC",44,"538531","Praha-Nedvìzí","CISOB",43,"554782","Praha"
"CS","Editaèní vazba","CISMC",44,"538736","Praha-Satalice","CISOB",43,"554782","Praha"
"CS","Editaèní vazba","CISMC",44,"538931","Praha 22","CISOB",43,"554782","Praha"
"CS","Editaèní vazba","CISMC",44,"538949","Praha 21","CISOB",43,"554782","Praha"
"CS","Editaèní vazba","CISMC",44,"539007","Praha-Vinoø","CISOB",43,"554782","Praha"
"CS","Editaèní vazba","CISMC",44,"539449","Praha-Lipence","CISOB",43,"554782","Praha"
"CS","Editaèní vazba","CISMC",44,"539465","Praha-Lochkov","CISOB",43,"554782","Praha"
"CS","Editaèní vazba","CISMC",44,"539589","Praha-Pøední Kopanina","CISOB",43,"554782","Praha"
"CS","Editaèní vazba","CISMC",44,"539601","Praha 16","CISOB",43,"554782","Praha"
"CS","Editaèní vazba","CISMC",44,"539635","Praha-Øeporyje","CISOB",43,"554782","Praha"
"CS","Editaèní vazba","CISMC",44,"539678","Praha-Slivenec","CISOB",43,"554782","Praha"
"CS","Editaèní vazba","CISMC",44,"539694","Praha 13","CISOB",43,"554782","Praha"
"CS","Editaèní vazba","CISMC",44,"539724","Praha-Šeberov","CISOB",43,"554782","Praha"
"CS","Editaèní vazba","CISMC",44,"539791","Praha-Újezd","CISOB",43,"554782","Praha"
"CS","Editaèní vazba","CISMC",44,"539864","Praha-Zbraslav","CISOB",43,"554782","Praha"
"CS","Editaèní vazba","CISMC",44,"539899","Praha-Zlièín","CISOB",43,"554782","Praha"
"CS","Editaèní vazba","CISMC",44,"545911","Moravská Ostrava a Pøívoz","CISOB",43,"554821","Ostrava"
"CS","Editaèní vazba","CISMC",44,"545970","Plzeò 1","CISOB",43,"554791","Plzeò"
"CS","Editaèní vazba","CISMC",44,"545988","Plzeò 2-Slovany","CISOB",43,"554791","Plzeò"
"CS","Editaèní vazba","CISMC",44,"546003","Plzeò 3","CISOB",43,"554791","Plzeò"
"CS","Editaèní vazba","CISMC",44,"546046","Slezská Ostrava","CISOB",43,"554821","Ostrava"
"CS","Editaèní vazba","CISMC",44,"546135","Ostrava-Jih","CISOB",43,"554821","Ostrava"
"CS","Editaèní vazba","CISMC",44,"546208","Plzeò 4","CISOB",43,"554791","Plzeò"
"CS","Editaèní vazba","CISMC",44,"546224","Poruba","CISOB",43,"554821","Ostrava"
"CS","Editaèní vazba","CISMC",44,"547034","Praha 11","CISOB",43,"554782","Praha"
"CS","Editaèní vazba","CISMC",44,"547042","Praha-Kunratice","CISOB",43,"554782","Praha"
"CS","Editaèní vazba","CISMC",44,"547051","Praha-Libuš","CISOB",43,"554782","Praha"
"CS","Editaèní vazba","CISMC",44,"547107","Praha 12","CISOB",43,"554782","Praha"
"CS","Editaèní vazba","CISMC",44,"547115","Praha-Velká Chuchle","CISOB",43,"554782","Praha"
"CS","Editaèní vazba","CISMC",44,"547140","Praha-Lysolaje","CISOB",43,"554782","Praha"
"CS","Editaèní vazba","CISMC",44,"547158","Praha-Nebušice","CISOB",43,"554782","Praha"
"CS","Editaèní vazba","CISMC",44,"547174","Praha 17","CISOB",43,"554782","Praha"
"CS","Editaèní vazba","CISMC",44,"547271","Praha-Suchdol","CISOB",43,"554782","Praha"
"CS","Editaèní vazba","CISMC",44,"547298","Praha-Ïáblice","CISOB",43,"554782","Praha"
"CS","Editaèní vazba","CISMC",44,"547301","Praha-Dolní Chabry","CISOB",43,"554782","Praha"
"CS","Editaèní vazba","CISMC",44,"547310","Praha-Èakovice","CISOB",43,"554782","Praha"
